_time,host,EventCode,Accin,Dominio Fuente,Usuario Fuente,Dominio Objetivo,Usuario Objetivo
Tue Jun  4 12:11:09 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,wfernandez
Tue Jun  4 11:58:46 2024,ARBA-CTCO-DC01,4723,An attempt was made to change an account's password,MAD,sbasile,MAD,sbasile
Tue Jun  4 11:46:25 2024,ARBA-CPSA-DC03,4723,An attempt was made to change an account's password,MAD,LFuentes,MAD,LFuentes
Tue Jun  4 11:35:20 2024,ARBA-CPSA-DC01,4767,A user account was unlocked,MAD,e.fbernardi_adm,MAD,e.aulacio
Tue Jun  4 10:51:27 2024,ARBA-CPSA-DC03,4723,An attempt was made to change an account's password,MAD,jmalerba,MAD,jmalerba
Tue Jun  4 10:51:01 2024,ARBA-CPSA-DC03,4723,An attempt was made to change an account's password,MAD,jmalerba,MAD,jmalerba
Tue Jun  4 10:00:30 2024,ARBA-CPSA-DC03,4767,A user account was unlocked,MAD,mjfernandez_adm,MAD,e.acerrutti
Tue Jun  4 09:50:51 2024,ARBA-CPSA-DC02,4723,An attempt was made to change an account's password,MAD,dmartinez,MAD,dmartinez
Tue Jun  4 09:13:17 2024,ARBA-CPSA-DC02,4740,A user account was locked out,MAD,ARBA-CPSA-DC02$,ARBA-CPSA-NB286,e.aulacio
Tue Jun  4 09:12:18 2024,ARBA-CPSA-DC03,4723,An attempt was made to change an account's password,MAD,AIntrieri,MAD,AIntrieri
Tue Jun  4 08:57:42 2024,ARBA-CPSA-DC03,4740,A user account was locked out,MAD,ARBA-CPSA-DC03$,ARBA-CPSA-DC03,e.acerrutti
