_time,host,EventCode,Accin,Dominio Fuente,Usuario Fuente,Dominio Objetivo,Usuario Objetivo
Fri Jun  7 16:50:45 2024,ARBA-CPSA-DC01,4722,A user account was enabled,MAD,e.fbernardi_adm,MAD,e.abruno
Fri Jun  7 16:50:45 2024,ARBA-CPSA-DC01,4724,An attempt was made to reset an accounts password,MAD,e.fbernardi_adm,MAD,e.abruno
Fri Jun  7 16:50:45 2024,ARBA-CPSA-DC01,4720,A user account was created,MAD,e.fbernardi_adm,MAD,e.abruno
Fri Jun  7 13:42:05 2024,ARBA-CPSA-DC01,4722,A user account was enabled,MAD,e.fbernardi_adm,MAD,e.aschivo
Fri Jun  7 13:42:05 2024,ARBA-CPSA-DC01,4724,An attempt was made to reset an accounts password,MAD,e.fbernardi_adm,MAD,e.aschivo
Fri Jun  7 13:42:05 2024,ARBA-CPSA-DC01,4720,A user account was created,MAD,e.fbernardi_adm,MAD,e.aschivo
Fri Jun  7 13:23:15 2024,ARBA-CPSA-DC01,4724,An attempt was made to reset an accounts password,MAD,e.fbernardi_adm,MAD,e.penjamio
Fri Jun  7 12:27:22 2024,AZE-CPSA-DC04,4767,A user account was unlocked,MAD,MSOL_f2675ea66c7b,MAD,etori
Fri Jun  7 12:27:21 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,etori
Fri Jun  7 12:18:16 2024,AZE-CPSA-DC04,4767,A user account was unlocked,MAD,MSOL_f2675ea66c7b,MAD,etori
Fri Jun  7 12:14:53 2024,ARBA-CPSA-DC02,4724,An attempt was made to reset an accounts password,MAD,helpdesk,MAD,ARSF-CTBL-NB231$
Fri Jun  7 12:14:53 2024,ARBA-CPSA-DC02,4722,A user account was enabled,MAD,helpdesk,MAD,ARSF-CTBL-NB231$
Fri Jun  7 09:43:26 2024,ARBA-CPSA-DC03,4767,A user account was unlocked,MAD,Readymind1,MAD,MZ-Enfermero
Fri Jun  7 09:43:25 2024,ARBA-CTCO-DC01,4723,An attempt was made to change an account's password,MAD,gpucci,MAD,gpucci
Fri Jun  7 08:29:31 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,jcismondi
Fri Jun  7 08:28:54 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,jcismondi
